시도,연도,지역별_의료폐기물,병의원_종합병원,병의원_일반병원,병의원_의원,병의원_요양병원,특수병원_결핵,총_병의원수,고령인구비율,65세이상인구,전체인구,상급종합병원,종합병원,병원,의원,치과병원,치과의원,한방병원,한의원,요양병원,정신병원,총_의료기관수,대형병원_비율,인구만명당_의료기관수,인구만명당_병의원수,인구만명당_의료폐기물,고령인구만명당_의료폐기물,의료기관당_의료폐기물,연도_정규화,연도_제곱,의료인프라_강도,시도_강원,시도_경기,시도_경남,시도_경북,시도_광주,시도_대구,시도_대전,시도_부산,시도_서울,시도_세종,시도_울산,시도_인천,시도_전남,시도_전북,시도_제주,시도_충남,시도_충북
강원,2011,2769.2,15.0,45.0,771.0,31.0,0.0,863.0,15.2,233219.0,1536448.0,8.0,52.0,192.0,2710.0,8.0,1261.0,8.0,1263.0,80.0,0.0,5582.0,0.010746910263299301,36.33054942308493,5.616851335027284,18.0233890115383,118.73818170903742,0.49600573168547374,0.0,0.0,3126.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2012,2977.5,15.0,45.0,771.0,31.0,0.0,863.0,15.7,241694.0,1538630.0,8.0,52.0,194.0,2716.0,8.0,1305.0,8.0,1283.0,93.0,0.0,5667.0,0.01058574453069866,36.831466954368494,5.608885827001943,19.351630996405895,123.1929630028052,0.5253175723359209,0.08333333333333333,0.006944444444444444,3135.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2013,3274.0,15.0,45.0,771.0,31.0,0.0,863.0,16.2,249539.0,1542263.0,4.0,56.0,190.0,2750.0,8.0,1351.0,8.0,1322.0,104.0,0.0,5793.0,0.010355540214014497,37.561686949631806,5.595673370884214,21.2285453259269,131.2019363706675,0.5650673110113911,0.16666666666666666,0.027777777777777776,3159.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2014,3612.1000000000004,15.0,45.0,771.0,31.0,0.0,863.0,16.6,255930.0,1544442.0,4.0,60.0,183.0,2832.0,8.0,1389.0,8.0,1344.0,111.0,0.0,5939.0,0.010774410774410775,38.45401769700643,5.587778628138836,23.38773485828539,141.13624819286525,0.6080976430976431,0.25,0.0625,3238.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2015,4026.6,15.0,49.0,715.0,30.0,0.0,809.0,16.9,261671.0,1549507.0,4.0,58.0,191.0,2871.0,10.0,1452.0,8.0,1366.0,116.0,0.0,6076.0,0.010202402501234161,39.21247209596342,5.221015458465176,25.986329845557325,153.88025421235062,0.6625966759914431,0.3333333333333333,0.1111111111111111,3285.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2016,4516.007622,15.0,48.0,735.0,30.0,0.0,828.0,17.2,266152.0,1550806.0,4.0,56.0,194.0,2933.0,12.0,1478.0,8.0,1384.0,124.0,0.0,6193.0,0.009686793671294802,39.93407299172172,5.339159121127981,29.12039044213138,169.67776390934503,0.7290939008718115,0.4166666666666667,0.17361111111111113,3348.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2017,5073.993527,15.0,48.0,747.0,30.0,0.0,840.0,18.1,279976.0,1550142.0,4.0,56.0,192.0,2965.0,15.0,1521.0,9.0,1390.0,118.0,0.0,6270.0,0.009567852017222133,40.44790735300379,5.41885840135936,32.732443395508284,181.2295885004429,0.80912032004465,0.5,0.25,3377.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2018,5542.591632,15.0,45.0,763.0,33.0,0.0,856.0,18.8,289386.0,1543052.0,4.0,56.0,181.0,3007.0,16.0,1537.0,9.0,1414.0,129.0,0.0,6353.0,0.009442870632672332,41.17165202468873,5.547447526071707,35.91966850112633,191.529363272584,0.8722995958451368,0.5833333333333334,0.34027777777777785,3402.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2019,4745.0,15.0,45.0,771.0,32.0,0.0,863.0,19.6,302886.0,1541502.0,4.0,56.0,180.0,3057.0,16.0,1548.0,5.0,1429.0,132.0,0.0,6427.0,0.009334163036714374,41.69310192267022,5.598435811306115,30.78166619310257,156.6596013021401,0.7381767268201618,0.6666666666666666,0.4444444444444444,3451.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2020,4832.5,15.0,45.0,781.0,32.0,0.0,873.0,20.7,319691.0,1542840.0,4.0,56.0,180.0,3108.0,16.0,1588.0,8.0,1461.0,126.0,0.0,6547.0,0.00916310323762981,42.43473075626766,5.658396204402272,31.322107282673514,151.16159041074036,0.7380116065974344,0.75,0.5625,3502.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2021,5388.2,15.0,37.0,785.0,34.0,0.0,871.0,21.7,333176.0,1538492.0,8.0,52.0,155.0,3122.0,16.0,1651.0,15.0,1484.0,132.0,26.0,6661.0,0.009006304413089163,43.29564274627362,5.661387904519491,35.022606552390265,161.7223329411482,0.808796157310117,0.8333333333333334,0.6944444444444445,3482.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2022,5369.408383,15.0,37.0,795.0,31.0,0.0,878.0,22.8,349874.0,1536498.0,8.0,52.0,146.0,3164.0,14.0,1678.0,23.0,1506.0,132.0,36.0,6759.0,0.008875739644970414,43.989643982615014,5.714293152350344,34.945755757573394,153.46691617553748,0.7942911809171598,0.9166666666666666,0.8402777777777777,3511.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
강원,2023,5145.32,16.0,36.0,797.0,31.0,0.0,880.0,24.0,366555.0,1527807.0,8.0,54.0,146.0,3179.0,12.0,1708.0,24.0,1507.0,121.0,36.0,6795.0,0.009123013537374927,44.475512941097925,5.759889829016362,33.677814017084614,140.3696580322189,0.757110064743967,1.0,1.0,3530.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2011,21286.5,64.0,281.0,7058.0,304.0,0.0,7714.0,9.0,1072462.0,11937415.0,20.0,192.0,1040.0,22673.0,153.0,13134.0,135.0,9517.0,747.0,0.0,47611.0,0.004452658993531043,39.883844199100054,6.462035541195476,17.83175000617805,198.48255695772903,0.4470826682348988,0.0,0.0,24677.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2012,24810.399999999998,64.0,281.0,7058.0,304.0,0.0,7714.0,9.4,1135242.0,12093299.0,20.0,193.0,1104.0,23019.0,152.0,13465.0,131.0,9862.0,854.0,0.0,48800.0,0.004364664658511096,40.3529260295309,6.378739167864782,20.51582450744003,218.54723486269887,0.5083994180447121,0.08333333333333333,0.006944444444444444,25121.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2013,26284.030163,64.0,281.0,7058.0,304.0,0.0,7714.0,9.8,1195523.0,12234630.0,20.0,200.0,1144.0,23405.0,146.0,13835.0,129.0,10225.0,963.0,0.0,50067.0,0.0043940241271870255,40.92236544954772,6.3050537695050854,21.483306126135403,219.85382266171374,0.5249666486178797,0.16666666666666666,0.027777777777777776,25581.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2014,28775.010535,64.0,281.0,7058.0,304.0,0.0,7714.0,10.2,1254445.0,12357830.0,20.0,205.0,1129.0,23933.0,129.0,14277.0,132.0,10663.0,1087.0,0.0,51575.0,0.004362494183341089,41.7346734823185,6.242196243191564,23.28484089439651,229.38439337715084,0.5579147381534048,0.25,0.0625,26096.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2015,32057.000959,58.0,288.0,6139.0,272.0,0.0,6757.0,10.5,1318882.0,12522606.0,20.0,209.0,1161.0,24531.0,134.0,14699.0,149.0,11019.0,1123.0,0.0,53045.0,0.004317007879953248,42.35939388334984,5.395841728151472,25.599304936208963,243.06193396376628,0.6043245665837198,0.3333333333333333,0.1111111111111111,26750.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2016,35502.972236,61.0,288.0,6377.0,271.0,0.0,6997.0,10.8,1374475.0,12716780.0,20.0,219.0,1147.0,25220.0,135.0,15219.0,171.0,11332.0,1125.0,0.0,54588.0,0.004378171426477862,42.92596081712509,5.502179010724412,27.918209040338827,258.30205886611253,0.6503686133836487,0.4166666666666667,0.17361111111111113,27438.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2017,36328.55057,61.0,271.0,6608.0,290.0,0.0,7230.0,11.4,1467835.0,12873895.0,20.0,221.0,1078.0,26130.0,139.0,15709.0,177.0,11791.0,1253.0,0.0,56518.0,0.0042640527964047485,43.90124356303978,5.616015976516819,28.21877184022396,247.49750871181024,0.6427670441798333,0.5,0.25,28249.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2018,39582.961236,63.0,265.0,6815.0,304.0,0.0,7447.0,11.9,1551801.0,13077153.0,20.0,227.0,1073.0,26939.0,142.0,16148.0,200.0,12139.0,1324.0,0.0,58212.0,0.0042430384965557524,44.51427615781508,5.69466458027982,30.268791101549397,255.07755979020507,0.6799677260405752,0.5833333333333334,0.34027777777777785,29062.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2019,42705.0,64.0,278.0,7058.0,314.0,0.0,7714.0,12.5,1651341.0,13239666.0,20.0,233.0,1096.0,27947.0,148.0,16685.0,233.0,12502.0,1373.0,0.0,60237.0,0.004200006640326704,45.49737130830944,5.826430968877916,32.255345414302745,258.6080040403527,0.7089378797436834,0.6666666666666666,0.4444444444444444,30117.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2020,35947.6,67.0,288.0,7245.0,319.0,0.0,7919.0,13.2,1775315.0,13427014.0,20.0,244.0,1139.0,28774.0,148.0,17135.0,328.0,12669.0,1400.0,0.0,61857.0,0.004267839244721782,46.06906643576897,5.897811680244022,26.772594413024372,202.48575604892653,0.5811309773998512,0.75,0.5625,31030.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2021,45241.7,67.0,277.0,7478.0,320.0,0.0,8142.0,13.9,1881464.0,13565450.0,20.0,248.0,1119.0,29621.0,153.0,17690.0,410.0,12893.0,1276.0,183.0,63613.0,0.004212909108057975,46.893394616470516,6.002012465491377,33.35068132645802,240.46008852680677,0.7111909328135315,0.8333333333333334,0.6944444444444445,31855.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2022,45002.843587,72.0,281.0,7815.0,309.0,0.0,8477.0,14.7,1992807.0,13589432.0,20.0,266.0,1100.0,30887.0,158.0,18243.0,521.0,12994.0,1252.0,202.0,65643.0,0.004356833830967034,48.304447161588506,6.237935478097981,33.11605929298591,225.82640259192186,0.6855591308725855,0.9166666666666666,0.8402777777777777,33129.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2023,39684.9171,71.0,286.0,8075.0,303.0,0.0,8735.0,15.6,2122718.0,13630821.0,20.0,264.0,1132.0,32039.0,168.0,18671.0,568.0,13137.0,1224.0,200.0,67423.0,0.0042121499762695774,49.46363832376641,6.408271372648793,29.114106259630287,186.9533169266949,0.5885874035951589,1.0,1.0,34325.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2011,6448.7,25.0,137.0,1632.0,125.0,1.0,1923.0,12.1,399530.0,3308765.0,4.0,90.0,554.0,5894.0,51.0,2858.0,8.0,2710.0,302.0,0.0,12471.0,0.007536882617062219,37.690800041707405,5.811836138257023,19.48974919645245,161.40715340525117,0.517054201411161,0.0,0.0,6917.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2012,7604.6,25.0,137.0,1632.0,125.0,1.0,1923.0,12.5,414831.0,3319314.0,4.0,92.0,554.0,5916.0,56.0,2954.0,12.0,2804.0,338.0,0.0,12730.0,0.00754064880999136,38.35129788866013,5.793365737619279,22.910155532137065,183.3180258948825,0.5973293535464614,0.08333333333333333,0.006944444444444444,6943.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2013,8413.17607,25.0,137.0,1632.0,125.0,1.0,1923.0,12.9,431645.0,3333820.0,4.0,92.0,566.0,5933.0,56.0,3029.0,19.0,2900.0,363.0,0.0,12962.0,0.007405693126591067,38.88032347277297,5.768157848954052,25.235843776808583,194.9096148455328,0.6490145853583275,0.16666666666666666,0.027777777777777776,6978.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2014,9544.240415,25.0,137.0,1632.0,125.0,1.0,1923.0,13.4,449017.0,3350257.0,4.0,88.0,572.0,5958.0,59.0,3138.0,15.0,2998.0,400.0,0.0,13232.0,0.006952316179248848,39.49547751112826,5.739858166104869,28.488084391734727,212.55855379640417,0.7212454027809265,0.25,0.0625,7004.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2015,10700.771133,24.0,141.0,1512.0,108.0,1.0,1785.0,13.8,464019.0,3364702.0,8.0,86.0,575.0,6054.0,65.0,3240.0,19.0,3040.0,412.0,0.0,13499.0,0.006962962962962963,40.11945188608085,5.305076051311528,31.803027825346796,230.61062441408652,0.7926497135555556,0.3333333333333333,0.1111111111111111,7112.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2016,12399.837059,25.0,148.0,1558.0,117.0,1.0,1848.0,14.2,480278.0,3373871.0,8.0,92.0,589.0,6208.0,72.0,3328.0,22.0,3113.0,461.0,0.0,13893.0,0.007197351374694113,41.17821932136706,5.477387843222222,36.75255236196049,258.1804092421473,0.8924598430257665,0.4166666666666667,0.17361111111111113,7299.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2017,13550.333243,25.0,131.0,1586.0,121.0,1.0,1863.0,14.9,504460.0,3380404.0,8.0,95.0,526.0,6360.0,73.0,3446.0,26.0,3181.0,541.0,0.0,14256.0,0.007224521287788455,42.17247405931362,5.511175587296667,40.08495210335806,268.610657792491,0.9504336987444764,0.5,0.25,7363.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2018,14749.355733999999,25.0,138.0,1612.0,126.0,1.0,1901.0,15.5,523165.0,3373988.0,8.0,92.0,532.0,6452.0,78.0,3498.0,34.0,3208.0,564.0,0.0,14466.0,0.006912283127116886,42.87507839387692,5.634282042496891,43.7149027619541,281.9255059875947,1.0195172277597289,0.5833333333333334,0.34027777777777785,7458.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2019,25805.5,26.0,137.0,1632.0,128.0,1.0,1923.0,16.3,548257.0,3362553.0,8.0,96.0,551.0,6550.0,80.0,3569.0,43.0,3203.0,585.0,0.0,14685.0,0.007081574288437968,43.67217408915191,5.718868966526327,76.74377177103231,470.68254486490827,1.7571496663489037,0.6666666666666666,0.4444444444444444,7592.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2020,11535.4,25.0,140.0,1652.0,130.0,1.0,1947.0,17.4,580258.0,3340216.0,8.0,92.0,563.0,6605.0,80.0,3623.0,57.0,3228.0,588.0,0.0,14844.0,0.006736274840013472,44.44023979287567,5.828964354401033,34.53489235426691,198.79777616163844,0.7770562478949141,0.75,0.5625,7657.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2021,11978.2,26.0,133.0,1673.0,129.0,1.0,1961.0,18.4,608379.0,3314183.0,12.0,91.0,538.0,6699.0,82.0,3689.0,71.0,3220.0,517.0,97.0,15016.0,0.0068588932543117796,45.30830071845761,5.916993720624359,36.14224078754855,196.88713778746475,0.7976426716388094,0.8333333333333334,0.6944444444444445,7724.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2022,12980.985954,26.0,130.0,1691.0,125.0,1.0,1972.0,19.5,638801.0,3280493.0,12.0,92.0,525.0,6797.0,80.0,3725.0,76.0,3192.0,508.0,112.0,15119.0,0.0068783068783068784,46.08758500627802,6.011291595501042,39.57022909056657,203.20860415058837,0.8585308170634921,0.9166666666666666,0.8402777777777777,7804.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2023,11303.2,26.0,126.0,1704.0,119.0,1.0,1975.0,20.6,669646.0,3251158.0,12.0,92.0,510.0,6834.0,84.0,3771.0,91.0,3138.0,483.0,116.0,15131.0,0.006872852233676976,46.54034039563749,6.0747585937072275,34.766689284248876,168.7936611284171,0.7469733016124769,1.0,1.0,7819.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2011,4745.6,20.0,74.0,1270.0,113.0,0.0,1466.0,15.7,424386.0,2699195.0,0.0,72.0,308.0,4707.0,31.0,2093.0,32.0,2259.0,326.0,0.0,9828.0,0.00732526197985553,36.410855829237974,5.431248946445144,17.58153819935203,111.82272742267654,0.4828161562722556,0.0,0.0,5313.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2012,5562.9,20.0,74.0,1270.0,113.0,0.0,1466.0,16.2,437519.0,2698353.0,0.0,72.0,307.0,4722.0,36.0,2183.0,30.0,2297.0,346.0,0.0,9993.0,0.007204322593556134,37.03370166912928,5.432943725302064,20.615909037846418,127.14647821008916,0.5566239743846307,0.08333333333333333,0.006944444444444444,5326.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2013,6284.918146,20.0,74.0,1270.0,113.0,0.0,1466.0,16.8,452417.0,2699440.0,0.0,70.0,322.0,4703.0,38.0,2277.0,30.0,2364.0,387.0,0.0,10191.0,0.006868131868131868,37.752274545831725,5.430756008653646,23.2823035370299,138.91869991622772,0.6166520943877551,0.16666666666666666,0.027777777777777776,5326.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2014,7435.9,20.0,74.0,1270.0,113.0,0.0,1466.0,17.3,467352.0,2700794.0,0.0,76.0,337.0,4724.0,42.0,2352.0,29.0,2432.0,410.0,0.0,10402.0,0.0073055849274247815,38.51459978065709,5.428033385737675,27.532273842433,159.10705421181464,0.7147841968662886,0.25,0.0625,5381.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2015,8074.2008829999995,19.0,84.0,1213.0,112.0,0.0,1428.0,17.7,479634.0,2702826.0,0.0,76.0,338.0,4856.0,44.0,2447.0,27.0,2457.0,442.0,0.0,10687.0,0.007110778443113772,39.54009618081223,5.283358973163645,29.873180452607752,168.34087831554893,0.755445441897455,0.3333333333333333,0.1111111111111111,5515.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2016,8951.858052,18.0,83.0,1229.0,112.0,0.0,1442.0,18.2,492417.0,2700398.0,0.0,75.0,334.0,4965.0,44.0,2513.0,23.0,2454.0,448.0,0.0,10856.0,0.006907985631389887,40.201481411258634,5.339953592026064,33.150143245551206,181.7942526760855,0.8245240906327714,0.4166666666666667,0.17361111111111113,5616.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2017,9094.807309,19.0,79.0,1251.0,117.0,0.0,1466.0,19.0,512681.0,2691706.0,0.0,76.0,316.0,5021.0,56.0,2530.0,20.0,2478.0,476.0,0.0,10973.0,0.006925460178603973,40.76596775427926,5.446360040806835,33.7882640563271,177.3970033802696,0.8287595506652087,0.5,0.25,5647.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2018,10486.237489,20.0,76.0,1271.0,117.0,0.0,1484.0,19.8,529349.0,2676831.0,0.0,79.0,311.0,5106.0,58.0,2598.0,16.0,2518.0,475.0,0.0,11161.0,0.007077584662246909,41.69482496280116,5.543868850891221,39.17407370506393,198.096860275546,0.9394586533775309,0.5833333333333334,0.34027777777777785,5730.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2019,10183.5,20.0,74.0,1278.0,114.0,0.0,1486.0,20.6,549415.0,2665836.0,0.0,80.0,301.0,5147.0,53.0,2664.0,22.0,2560.0,474.0,0.0,11301.0,0.007078393204742524,42.391955094011784,5.574236374630698,38.20002430757181,185.35169225448888,0.9010352150061935,0.6666666666666666,0.4444444444444444,5758.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2020,7960.8,20.0,73.0,1270.0,114.0,0.0,1477.0,21.7,573715.0,2639422.0,0.0,80.0,292.0,5153.0,52.0,2701.0,30.0,2553.0,467.0,0.0,11328.0,0.007061523523700239,42.918487456723476,5.5959221374982855,30.161148918210124,138.7587913859669,0.7026922058434107,0.75,0.5625,5751.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2021,7715.9,20.0,55.0,1265.0,113.0,0.0,1453.0,22.7,596312.0,2626609.0,0.0,80.0,221.0,5132.0,52.0,2702.0,30.0,2548.0,451.0,84.0,11300.0,0.007079019555791523,43.021249070569695,5.53184733624228,29.375898734832624,129.39367311072056,0.6827625873816476,0.8333333333333334,0.6944444444444445,5623.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2022,8426.431991,20.0,51.0,1289.0,109.0,0.0,1469.0,23.8,618275.0,2600492.0,0.0,80.0,217.0,5200.0,52.0,2733.0,26.0,2510.0,444.0,98.0,11360.0,0.00704163365900889,43.684041327564174,5.648931048432374,32.40322212489021,136.28938564554608,0.7416980891646862,0.9166666666666666,0.8402777777777777,5685.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
경북,2023,7324.25,21.0,52.0,1282.0,107.0,0.0,1462.0,24.7,630486.0,2554324.0,0.0,83.0,207.0,5214.0,48.0,2781.0,30.0,2486.0,431.0,104.0,11384.0,0.007290294246815986,44.567564647241305,5.72362785613728,28.67392703509813,116.16832094606383,0.643324549846289,1.0,1.0,5690.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
광주,2011,4272.6,23.0,78.0,949.0,60.0,0.0,1115.0,9.3,136411.0,1463464.0,8.0,76.0,259.0,3370.0,27.0,2007.0,143.0,1209.0,89.0,0.0,7188.0,0.011684518013631937,49.11634314202468,7.618909655447624,29.195115151448896,313.2152099170888,0.5943246626790931,0.0,0.0,3934.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
광주,2012,4717.2,23.0,78.0,949.0,60.0,0.0,1115.0,9.9,144732.0,1469216.0,8.0,76.0,276.0,3378.0,30.0,2056.0,190.0,1216.0,107.0,0.0,7337.0,0.011447260834014717,49.938198331627206,7.589081523751442,32.106919608825386,325.92654008788656,0.6428454619787408,0.08333333333333333,0.006944444444444444,3968.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
